polarity,sentence,lem_words,lem_type
2.0,"i've been to sapphire twice and both times the food was fine, if not good.",have be sapphire twice time food be fine not good,VB VB VB RB NN NN VB JJ RB JJ
2.0,Personal pans are the perfect size for those hungry nights.,personal pan be perfect size hungry night,JJ NN VB JJ NN JJ NN
2.0,"Great food, good size menu, great service and an unpretensious setting.",great food good size menu great service unpretensious set,JJ NN JJ NN NN JJ NN JJ VB
2.0,It's one of our favorite places to eat in NY.,favorite place eat ny,JJ NN VB NN
2.0,(Always ask the bartender for the SEASONAL beer!!!,always ask bartender seasonal beer,RB VB NN JJ NN
2.0,The service was attentive.,service be attentive,NN VB JJ
2.0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",go day oyster binge fish bring closing be so glad be place trip end be so great,VB NN NN NN NN VB NN VB RB JJ VB NN NN VB VB RB JJ
2.0,Waitstaff are very friendly.,waitstaff be very friendly,NN VB RB JJ
2.0,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",volare virgin weekly regular everyone get treat same ask more service be friendly,NN NN JJ NN NN VB VB JJ VB JJ NN VB JJ
2.0,"Great food, good size menu, great service and an unpretensious setting.",great food good size menu great service unpretensious set,JJ NN JJ NN NN JJ NN JJ VB
2.0,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience be so fun price be great top fact food be really tasty,NN VB RB NN NN VB JJ NN NN NN VB RB JJ
2.0,I have never had cheescake like this.,have never have cheescake,VB RB VB NN
2.0,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN
2.0,"The food is outstanding and the service is quick, friendly and very professional.",food be outstanding service be quick friendly very professional,NN VB JJ NN VB JJ JJ RB JJ
2.0,The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi be excellent antipastus be plentiful,NN NN VB JJ NN VB JJ
2.0,it's delicious!,be delicious,VB JJ
2.0,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",just be cheap do not mean portion be small food be nasty be great,RB VB RB VB RB VB NN VB JJ NN VB JJ VB JJ
2.0,Great pizza and fantastic service.,great pizza fantastic service,JJ NN JJ NN
2.0,"We love the food, drinks, and atmosphere!",love food drink atmosphere,VB NN NN NN
2.0,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",go areo sunday afternoon girlfriend spend enjoyable hour there,VB VB NN NN NN VB JJ NN RB
2.0,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food be delicious special regular menu fare dish be never disappointment,NN VB JJ NN JJ NN VB NN VB RB NN
2.0,Delivery is fast too.,delivery be fast too,NN VB JJ RB
2.0,"Excellent atmosphere, delicious dishes good and friendly service.",excellent atmosphere delicious dish good friendly service,JJ NN JJ NN JJ JJ NN
2.0,Your friends will thank you for introducing them to this gem!,friend thank introduce gem,NN VB VB NN
2.0,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",location be good fact hutner college be near price be very reasonable make student go back suan again again,NN VB JJ NN JJ NN VB JJ NN VB RB JJ VB NN VB RB VB RB RB
2.0,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience be so fun price be great top fact food be really tasty,NN VB RB NN NN VB JJ NN NN NN VB RB JJ
2.0,Wine list is extensive without being over-priced.,wine list be extensive be price,NN NN VB JJ VB VB
2.0,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list be extensive be look purple haze be not list make request,NN NN VB JJ VB VB JJ NN VB RB VB VB NN
2.0,"The food is amazing, rich pastas and fresh doughy pizza.",food be amazing rich pasta fresh doughy pizza,NN VB JJ JJ NN JJ NN NN
2.0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",go day oyster binge fish bring closing be so glad be place trip end be so great,VB NN NN NN NN VB NN VB RB JJ VB NN NN VB VB RB JJ
2.0,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",blond wood decor be very premium sake be excellent service be great,JJ NN NN VB RB NN NN VB JJ NN VB JJ
2.0,We were very pleasantly surprised.,be very pleasantly surprised,VB RB RB JJ
2.0,I had a grat time at Jekyll and Hyde!,have grat time jekyll hyde,VB NN NN NN NN
2.0,What a great place!,great place,JJ NN
2.0,Great Indian food and the service is incredible.,great indian food service be incredible,JJ JJ NN NN VB JJ
2.0,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,wine list be extensive easily hike otherwise reasonably price meal,NN NN VB JJ RB NN RB RB VB NN
2.0,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere be unheralded service impecible food magnificant,NN VB JJ NN JJ NN NN
2.0,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,boyfriend have new england chowder be good think award go lobster bisque,NN VB JJ NN NN VB JJ VB NN VB NN NN
2.0,"There's nice and quiet, small but enough for 6 (or more).",nice quiet small enough more,JJ JJ JJ RB JJ
2.0,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",have different beer offer thier guest make husband very happy food be delicious recommend dish be pumkin tortelini,VB JJ NN VB JJ NN VB NN RB JJ NN VB JJ VB NN VB NN NN
2.0,The menu is limited but almost all of the dishes are excellent.,menu be limited almost dish be excellent,NN VB JJ RB NN VB JJ
2.0,"Everything was wonderful; food, drinks, staff, mileau.",everything be wonderful food drink staff mileau,NN VB JJ NN NN NN NN
2.0,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",eat back patio be worth be cool music be hear well there,VB JJ NN VB JJ VB JJ NN VB RB RB RB
2.0,I recommend it!,recommend,VB
2.0,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",small serving main entree have salmon wasnt impressed girlfriend have chicken be good,JJ NN JJ NN VB NN VB JJ NN VB NN VB JJ
2.0,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dish offer be unique very tasty fresh lamb sausage sardine biscuit large whole shrimp amazing pistachio ice cream best freshest ve ever have,NN VB VB JJ RB JJ JJ NN NN NN NN JJ JJ NN JJ JJ NN NN JJ VB NN RB VB
2.0,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN
2.0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",planet thailand have always be hit go there usually sushi be great thai food be excellent too,NN NN VB RB VB NN VB RB RB NN VB JJ NN NN VB JJ RB
2.0,This is one of my favorite restaurants and it is not to be missed.,be favorite restaurant be not be miss,VB JJ NN VB RB VB VB
2.0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,restaurant do not try do anything serve great food great service pleasant atmosphere,NN VB RB VB VB NN NN JJ NN JJ NN JJ NN
2.0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,right brooklyn be nice cozy place good pizza,RB NN VB JJ JJ NN JJ NN
2.0,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,prix fixe menu be worth penny get more enough quantity quality,NN JJ NN VB JJ NN VB JJ RB NN NN
2.0,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",consider be last patron there be closing time waitstaff do not rush make feel comfortable relax,VB VB JJ NN RB VB JJ NN NN VB RB VB VB VB JJ VB
2.0,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,have never have edamame pureed before think be innovative tasty have used bit more salt,VB RB VB JJ NN RB VB VB JJ JJ VB VB NN JJ NN
2.0,but overall i give it a 10,overall give,JJ VB
2.0,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,boyfriend have new england chowder be good think award go lobster bisque,NN VB JJ NN NN VB JJ VB NN VB NN NN
2.0,Service was quick.,service be quick,NN VB JJ
2.0,"Everything was wonderful; food, drinks, staff, mileau.",everything be wonderful food drink staff mileau,NN VB JJ NN NN NN NN
2.0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",have be cafe spice probably time be probably still best indian restaurant union square,VB VB NN NN RB NN VB RB RB JJ JJ NN NN NN
2.0,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service be excellent decor be great food be delicious come large portion,NN VB JJ NN VB JJ NN VB JJ VB JJ NN
2.0,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,place be bistro mean simple dish wine serve efficiently bustling atmosphere,NN VB NN VB JJ NN NN VB RB JJ NN
2.0,"While their kitchen food is delicious, their Sushi is out of this world.",kitchen food be delicious sushi be world,NN NN VB JJ NN VB NN
2.0,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,pizza wine be excellent service too really make place be backyard dine area,NN NN VB JJ NN RB RB VB NN VB NN VB NN
2.0,Get the pepperoni - YUM - and a family style salad.,get pepperoni yum family style salad,VB NN NN NN NN NN
2.0,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,highly recommend special occasion provide intimate setting nice service,RB VB JJ NN VB JJ NN JJ NN
2.0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",come family pizzeria owner almost ashamed say pizza fornino blow family receipy away,VB NN NN NN RB JJ VB NN NN NN NN NN RB
2.0,It hits the spot every time,hit spot time,VB NN NN
2.0,It is definitely a good spot for snacks and chat.,be definitely good spot snack chat,VB RB JJ NN NN NN
2.0,Check this place out!,check place out,NN NN RB
2.0,"However, go for the ambience, and consider the food just a companion for a trip across the world!",however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN
2.0,Have frequented 'ino for several years and the food remains excellent.,have frequent ino several year food remain excellent,VB VB NN JJ NN NN VB JJ
2.0,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,add great service great food reasonable price have begin great evening,VB JJ NN JJ NN JJ NN VB VB JJ NN
2.0,I also recommend the rice dishes or the different varieties of congee (rice porridge).,also recommend rice dish different variety congee rice porridge,RB VB NN NN JJ NN JJ NN NN
2.0,"We have been to this place many times, and always have great food, wine, and service.",have be place many time always have great food wine service,VB VB NN JJ NN RB VB JJ NN NN NN
2.0,Also very inexpensive.,also very inexpensive,RB RB JJ
2.0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,right brooklyn be nice cozy place good pizza,RB NN VB JJ JJ NN JJ NN
2.0,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN
2.0,The owner and staff are all Japanese as well and that adds to the entire ambiance.,owner staff be japanese as well add entire ambiance,NN NN VB RB RB RB VB JJ NN
2.0,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,restaurant do not try do anything serve great food great service pleasant atmosphere,NN VB RB VB VB NN NN JJ NN JJ NN JJ NN
2.0,Personal pans are the perfect size for those hungry nights.,personal pan be perfect size hungry night,JJ NN VB JJ NN JJ NN
2.0,"The food is good, especially their more basic dishes, and the drinks are delicious.",food be good especially more basic dish drink be delicious,NN VB JJ RB JJ JJ NN NN VB JJ
2.0,The food was delicious but do not come here on a empty stomach.,food be delicious do not come here empty stomach,NN VB JJ VB RB VB RB JJ NN
2.0,The place is so cool and the service is prompt and curtious.,place be so cool service be prompt curtious,NN VB RB JJ NN VB JJ JJ
2.0,Overall I would recommend it and go back again.,overall recommend go back again,JJ VB VB RB RB
2.0,Personal pans are the perfect size for those hungry nights.,personal pan be perfect size hungry night,JJ NN VB JJ NN JJ NN
2.0,The food was absolutely amazing!!,food be absolutely amazing,NN VB RB JJ
2.0,Great food and the prices are very reasonable.,great food price be very reasonable,JJ NN NN VB RB JJ
2.0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",planet thailand have always be hit go there usually sushi be great thai food be excellent too,NN NN VB RB VB NN VB RB RB NN VB JJ NN NN VB JJ RB
2.0,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,highly recommend caviar russe anyone want delicious top grade caviar fantastic service,RB VB NN NN NN VB JJ NN NN NN JJ NN
2.0,We were very pleasantly surprised.,be very pleasantly surprised,VB RB RB JJ
2.0,"Nice atmosphere, the service was very pleasant and the desert was good.",nice atmosphere service be very pleasant desert be good,JJ NN NN VB RB JJ NN VB JJ
2.0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,food be amazing especially get chef taste menu favourite bottle wine extensive selection wine,NN VB JJ RB VB NN VB NN JJ NN NN JJ NN NN
2.0,"Always a nice crowd, but never loud.",always nice crowd never loud,RB JJ NN RB JJ
2.0,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,cold appetizer dish taste way remember taste be grow taiwan,JJ NN NN NN NN VB VB VB VB NN
2.0,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",venture island manhattan seem find great italian restaurant drive corona,NN NN JJ VB VB JJ JJ NN NN NN
2.0,The wine list is interesting and has many good values.,wine list be interesting have many good value,NN NN VB JJ VB JJ JJ NN
2.0,I recently tried Suan and I thought that it was great.,recently try suan think be great,RB VB JJ VB VB JJ
2.0,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food be usually very good ocasionally wonder freshmess raw vegatable side order,NN VB RB RB JJ RB VB NN JJ NN NN NN
2.0,The service was the only thing good about this restaurant.,service be only thing good restaurant,NN VB JJ NN JJ NN
2.0,I have been going there since it opened and I can't get enough.,have be go there open get enough,VB VB VB RB VB VB RB
2.0,Make sure you have the Spicy Scallop roll.. .,make sure have spicy scallop roll,VB JJ VB JJ NN NN
2.0,"I found the food, service and value exceptional everytime I have been there.",find food service value exceptional everytime have be there,VB NN NN NN JJ NN VB VB RB
2.0,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,be out friend sudden be hungry only crave thing pizza,VB RB NN JJ VB JJ RB VB NN NN
2.0,Waitstaff are very friendly.,waitstaff be very friendly,NN VB RB JJ
2.0,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich be good spaghettus scallop shrimp be great,NN NN VB JJ NN NN NN VB JJ
2.0,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",go here last night nice decor good service food be surprisingly excellent,VB RB JJ NN JJ NN JJ NN NN VB RB JJ
2.0,LOVE the atmosphere - felt like I was in Paris.,love atmosphere feel be paris,VB NN VB VB NN
2.0,I have NEVER been disappointed in the Red Eye.,have never be disappoint red eye,VB RB VB VB JJ NN
2.0,Not the typical NYC gimmick theme restaurant.,not typical nyc gimmick theme restaurant,RB JJ NN NN NN NN
2.0,The service was attentive.,service be attentive,NN VB JJ
2.0,The food was average or above including some surprising tasty dishes.,food be average include surprising tasty dish,NN VB JJ VB JJ JJ NN
2.0,"great for a romantic evening, or a fun evening with friends...",great romantic evening fun evening friend,JJ JJ NN NN NN NN
2.0,Service is top notch.,service be top notch,NN VB JJ NN
2.0,"The food is amazing, rich pastas and fresh doughy pizza.",food be amazing rich pasta fresh doughy pizza,NN VB JJ JJ NN JJ NN NN
2.0,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN
2.0,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit be always amazing foie gra terrine fig be world,NN NN VB RB JJ NN VB NN NN VB NN
2.0,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",large selection bruschetta paninis tramezzinis keep palate stagnate,JJ NN NN NN NN VB NN VB
2.0,"There's nice and quiet, small but enough for 6 (or more).",nice quiet small enough more,JJ JJ JJ RB JJ
2.0,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",ve also be amaze new addition past few year new jazz bar most fantastic dining garden best thin crust pizza now lasagna menu be die be not average lasagna,NN RB VB VB JJ NN JJ JJ NN JJ NN NN RB JJ NN NN JJ JJ NN NN RB JJ NN VB VB VB RB NN NN
2.0,"We love the food, drinks, and atmosphere!",love food drink atmosphere,VB NN NN NN
2.0,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",still quibble bill be off set pour own measure liquer be courtesey house,RB NN NN VB RB NN NN JJ NN NN VB NN NN
2.0,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",recommend jelly fish drunken chicken soupy dumpling certainly stir fry blue crab,VB NN JJ JJ NN JJ NN RB NN NN JJ NN
2.0,The server was really cool and served us our food and drinks with a smile.,server be really cool serve food drink smile,NN VB RB JJ VB NN NN NN
2.0,You can do it here.,do here,VB RB
2.0,My wife had the fried shrimp which are huge and loved it.,wife have fried shrimp be huge love,NN VB JJ NN VB JJ VB
2.0,Try the lobster teriyaki and the rose special roll.,try lobster teriyaki rise special roll,VB NN NN VB JJ NN
2.0,Thanks Bloom's for a lovely trip.,thank bloom lovely trip,NN NN JJ NN
2.0,this little place has a cute interior decor and affordable city prices.,little place have cute interior decor affordable city price,JJ NN VB JJ JJ NN JJ NN NN
2.0,"The Steak Tartare is a great bet, they fix it for you at the table.",steak tartare be great bet fix table,NN NN VB JJ NN VB NN
2.0,"Interesting selection, good wines, service fine, fun decor.",interesting selection good wine service fine fun decor,JJ NN JJ NN NN NN NN NN
2.0,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",just be cheap do not mean portion be small food be nasty be great,RB VB RB VB RB VB NN VB JJ NN VB JJ VB JJ
2.0,"Try the Pad Thai, it's fabulous and their prices are so cheap!",try pad thai be fabulous price be so cheap,VB NN NN VB JJ NN VB RB RB
2.0,The food was pretty tradional but it was hot and good with large portions.,food be pretty tradional be hot good large portion,NN VB JJ NN VB JJ JJ JJ NN
2.0,"For the price, you cannot eat this well in Manhattan.",price eat well manhattan,NN VB RB JJ
2.0,"Not only is the cuisine the best around, the service has always been attentive and charming.",not only be cuisine best service have always be attentive charming,RB RB VB NN JJ NN VB RB VB JJ JJ
2.0,"However, go for the ambience, and consider the food just a companion for a trip across the world!",however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN
2.0,"Pizza is terrific, as is homemade pasta.",pizza be terrific be homemade pasta,NN VB JJ VB JJ NN
2.0,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",first time go be completely take live jazz band atmosphere order lobster cobb salad,JJ NN VB VB RB VB JJ NN NN NN VB NN JJ NN
2.0,The place is a lot of fun.,place be lot fun,NN VB NN NN
2.0,even the wine by the glass was good.,even wine glass be good,RB NN NN VB JJ
2.0,"Try the Pad Thai, it's fabulous and their prices are so cheap!",try pad thai be fabulous price be so cheap,VB NN NN VB JJ NN VB RB RB
2.0,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place be small intimate feel little crowded service be excellent be great friend romantic date special occassion,NN VB JJ JJ VB JJ JJ NN VB JJ VB JJ NN JJ NN JJ NN
2.0,The decor is very simple but comfortable.,decor be very simple comfortable,NN VB RB JJ JJ
2.0,"good music, great food, speedy service affordable prices.",good music great food speedy service affordable price,JJ NN JJ NN JJ NN JJ NN
2.0,"If the weather is nice, try to snag an outside table.",weather be nice try snag outside table,NN VB JJ NN NN JJ NN
2.0,I would go back.,go back,VB RB
2.0,This place is the most Japanese it can ever get.,place be most japanese ever get,NN VB JJ JJ RB VB
2.0,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,be lot fun live entertainment kind disney type special effect,VB NN NN JJ NN NN NN NN JJ NN
2.0,The place was nice and calm.,place be nice calm,NN VB JJ VB
2.0,"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",be first place eat first trip new york be last place stop head town next trip new york,VB JJ NN VB JJ NN NN NN VB JJ NN VB VB NN JJ NN NN NN
2.0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,girlfriend stumble hop place other night have great time,NN VB VB NN JJ NN VB JJ NN
2.0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,view be breathtaking service be top notch ambiance be wonderfull,NN VB JJ NN VB JJ NN NN VB JJ
2.0,We all agreed that mare is one of the best seafood restaurants in New York.,agree mare be best seafood restaurant new york,VB NN VB JJ NN NN NN NN
2.0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,be frist time cafe st bart say delicous food service be,VB JJ NN NN NN NN VB JJ NN NN VB
2.0,We both opted for a pasta dish and they were served timely and fresh.,opt pasta dish be served timely fresh,VB NN NN VB JJ JJ JJ
2.0,This is a fun restaurant to go to.,be fun restaurant go,VB NN NN VB
2.0,The service is good and ambience is good for a date or group outing.,service be good ambience be good date group outing,NN VB JJ NN VB JJ NN NN NN
2.0,"i've been to sapphire twice and both times the food was fine, if not good.",have be sapphire twice time food be fine not good,VB VB VB RB NN NN VB JJ RB JJ
2.0,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,find difficult dine other japanese restaurant visit mizu,VB JJ VB JJ JJ NN NN VB
2.0,I will be back!,be back,VB RB
2.0,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",sign special menu food even waitstaff be totally japanese,NN NN NN NN RB NN VB RB JJ
2.0,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",go here last night nice decor good service food be surprisingly excellent,VB RB JJ NN JJ NN JJ NN NN VB RB JJ
2.0,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",try pad thai sample anything appetizer menu re delicious,VB NN NN NN NN NN NN NN JJ
2.0,I LOVE their Thai,love thai,VB NN
2.0,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",highly recommend cafe st bart food ambience wonderful service,RB VB NN NN NN NN NN JJ NN
2.0,"Everything I had was good, and I'm a eater.",everything have be good eater,NN VB VB JJ NN
2.0,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",recommend jelly fish drunken chicken soupy dumpling certainly stir fry blue crab,VB NN JJ JJ NN JJ NN RB NN NN JJ NN
2.0,The Yellowtail was particularly good as well.,yellowtail be particularly good well,NN VB RB JJ RB
2.0,"Good spreads, great beverage selections and bagels really tasty.",good spread great beverage selection bagel really tasty,JJ NN JJ NN NN NN RB JJ
2.0,The characters really make for an enjoyable experience.,character really make enjoyable experience,NN RB VB JJ NN
2.0,We had a good time.,have good time,VB JJ NN
2.0,It's great to go for a quick lunch either alone or with a friend.,great go quick lunch either alone friend,JJ VB JJ NN RB RB NN
2.0,I recently tried Suan and I thought that it was great.,recently try suan think be great,RB VB JJ VB VB JJ
2.0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,girlfriend stumble hop place other night have great time,NN VB VB NN JJ NN VB JJ NN
2.0,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,enjoy very nice caesar salad wife have arugula goat cheese very tasty,VB RB JJ NN NN NN VB NN NN NN RB JJ
2.0,"For the price, you cannot eat this well in Manhattan.",price eat well manhattan,NN VB RB JJ
2.0,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food be yummy especially cook perfection mussel spicy tomato sauce shoestring crispy fry,NN VB JJ RB VB NN NN JJ NN NN NN JJ NN
2.0,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,quaint romantic trattoria be top manhattan restaurant list,JJ JJ NN VB NN JJ NN NN
2.0,Will absolutely visit again.,absolutely visit again,RB NN RB
2.0,The food was pretty tradional but it was hot and good with large portions.,food be pretty tradional be hot good large portion,NN VB JJ NN VB JJ JJ JJ NN
2.0,"If the weather is nice, try to snag an outside table.",weather be nice try snag outside table,NN VB JJ NN NN JJ NN
2.0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",downtown dinner fix appetizer be waiter give poor suggestion try potato stuff kanish best,JJ NN VB NN VB NN VB JJ NN VB NN NN VB RB
2.0,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,authentic shanghai style recommend better shanghai place new york,JJ NN NN VB JJ NN NN NN NN
2.0,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",go once do not enjoy say be just do not get,VB RB VB RB VB VB VB RB VB RB VB
2.0,The place itself is beautiful the bar scene seems to be happening.,place be beautiful bar scene seem be happen,NN VB JJ NN NN VB VB VB
2.0,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",luckily save room bbq salmon sea bass crispy duck,RB VB NN JJ NN NN NN JJ NN
2.0,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",highly recommend cafe st bart food ambience wonderful service,RB VB NN NN NN NN NN JJ NN
2.0,The food was delicious but do not come here on a empty stomach.,food be delicious do not come here empty stomach,NN VB JJ VB RB VB RB JJ NN
2.0,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",come family pizzeria owner almost ashamed say pizza fornino blow family receipy away,VB NN NN NN RB JJ VB NN NN NN NN NN RB
2.0,Make sure you try this place as often as you can.,make sure try place often,VB JJ VB NN RB
2.0,Best Taiwanese food in NY!,best food ny,VB NN NN
2.0,fine dining restaurant quality.,fine dine restaurant quality,JJ VB NN NN
2.0,Steamed fresh so brought hot hot hot to your table.,steam fresh so bring hot hot hot table,VB JJ RB VB JJ JJ JJ NN
2.0,"The food is amazing, rich pastas and fresh doughy pizza.",food be amazing rich pasta fresh doughy pizza,NN VB JJ JJ NN JJ NN NN
2.0,Their tuna tartar appetizer is to die for.,tuna tartar appetizer be die,NN NN NN VB VB
2.0,"Great food, good size menu, great service and an unpretensious setting.",great food good size menu great service unpretensious set,JJ NN JJ NN NN JJ NN JJ VB
2.0,Wine list is extensive without being over-priced.,wine list be extensive be price,NN NN VB JJ VB VB
2.0,The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room be quietly elegant music shout refreshing,JJ NN VB RB JJ NN VB JJ
2.0,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",venture island manhattan seem find great italian restaurant drive corona,NN NN JJ VB VB JJ JJ NN NN NN
2.0,The pizza is delicious and the proprietor is one of the nicest in NYC.,pizza be delicious proprietor be nicest nyc,NN VB JJ NN VB JJ NN
2.0,The food was average or above including some surprising tasty dishes.,food be average include surprising tasty dish,NN VB JJ VB JJ JJ NN
2.0,Highly recommended.,highly recommend,RB VB
2.0,"Everything was wonderful; food, drinks, staff, mileau.",everything be wonderful food drink staff mileau,NN VB JJ NN NN NN NN
2.0,The characters really make for an enjoyable experience.,character really make enjoyable experience,NN RB VB JJ NN
2.0,Mizu is home to creative and unique rolls not to found anywhere else.,mizu be home creative unique roll not find anywhere else,NN VB NN JJ JJ NN RB VB RB RB
2.0,"The food is amazing, rich pastas and fresh doughy pizza.",food be amazing rich pasta fresh doughy pizza,NN VB JJ JJ NN JJ NN NN
2.0,The Yellowtail was particularly good as well.,yellowtail be particularly good well,NN VB RB JJ RB
2.0,Faan is sooo good.,faan be sooo good,NN VB RB JJ
2.0,I cannot imagine you not rushing out to eat there.,imagine not rush eat,VB RB VB VB
2.0,Faan is sooo good.,faan be sooo good,NN VB RB JJ
2.0,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",yes use fancy ingredient even fancy ingredient do not make good pizza someone know get crust right,RB VB JJ NN RB JJ NN VB RB VB JJ NN NN VB VB NN RB
2.0,"Seriously, this place kicks ass.",seriously place kick ass,RB NN VB NN
